algo,no,precision,dm,cm,entropy,discern,ilm,acc
datafly_shuffled,125,0.03333333333333344,0.0575,0.3651351351351351,0.9436611164716742,0.1213109569028488,0.0485084281650071,0.5054054054054054
mondrian,125,0.4356639676113361,0.6475,0.21121621621621625,0.8091235802165155,0.0003319576333089846,0.046575284495021387,0.4945945945945946
datafly,126,0.01665990990991006,0.045,0.46,0.9889747377560648,0.7116610299488678,0.04859270981507823,0.5054054054054054
datafly_shuffled,126,0.04197072072072083,0.09,0.4177027027027027,0.9381218298797966,0.08761289262235207,0.04882480440967284,0.5763513513513514
mondrian,126,0.4167200641937484,0.6125,0.25756756756756755,0.8200723829087262,0.0005234842951059168,0.04586961237553348,0.4945945945945946
datafly,127,0.024993243243243257,0.035,0.4272972972972973,0.9905958352284018,0.8067847699050402,0.048276102418207685,0.5054054054054054
datafly_shuffled,127,0.03333333333333344,0.0625,0.4251351351351351,0.9388503555059116,0.08977677136596056,0.04799567923186345,0.5452702702702703
mondrian,127,0.4173801564722617,0.6025,0.25202702702702695,0.8186892846840289,0.0005230825420014609,0.046630298719772464,0.4945945945945946
datafly,128,0.04202590090090075,0.09,0.3255405405405405,0.9769748321828176,0.5803579620160702,0.04649569701280226,0.5054054054054054
datafly_shuffled,128,0.041997747747747886,0.0675,0.40297297297297296,0.9442189770579908,0.1075391891891892,0.048778876244665724,0.575
mondrian,128,0.42190787649998174,0.605,0.2483783783783784,0.8185912486649213,0.0005232651570489409,0.04578911806543382,0.4945945945945946
datafly,129,0.01666666666666661,0.035,0.4152702702702703,0.9920402020044176,0.8269756391526661,0.048501066856330016,0.5054054054054054
datafly_shuffled,129,0.033333333333333215,0.07,0.3762162162162162,0.9447677218440338,0.11520507669831995,0.048947510668563315,0.5614864864864865
mondrian,129,0.41274594229857386,0.595,0.2579729729729729,0.8187240213280303,0.0005283418553688824,0.04671913229018485,0.4945945945945946
